Time(s),I-Raw(V),II-Raw(V),III-Raw(V),V1-Raw(V),V2-Raw(V),V3-Raw(V),V4-Raw(V),V5-Raw(V),V6-Raw(V),LA-Raw(V),RA-Raw(V),LL-Raw(V)
1.6262,1.804682,1.586970,1.797695,1.763859,1.579266,1.541883,1.645499,1.552700,1.666988,2.319040,2.297549,2.276040
1.6275,1.801953,1.586060,1.799224,1.764145,1.579122,1.540113,1.644591,1.553034,1.666896,2.326216,2.309174,2.284871
1.6287,1.802864,1.586299,1.801378,1.763570,1.578353,1.538727,1.643060,1.551170,1.665700,2.246235,2.232226,2.206839
1.6300,1.803774,1.586394,1.802670,1.763141,1.577206,1.537626,1.641481,1.548633,1.664740,2.123130,2.110853,2.084914
1.6313,1.806165,1.587160,1.803773,1.763332,1.577206,1.537911,1.641239,1.546338,1.664167,1.985543,1.971951,1.947787
1.6325,1.810092,1.587927,1.803679,1.762328,1.577589,1.539253,1.641239,1.543849,1.664597,1.851397,1.835027,1.812734
1.6338,1.814304,1.589552,1.803484,1.761753,1.578546,1.540831,1.641814,1.542411,1.664934,1.735469,1.715324,1.695907
1.6350,1.820764,1.590846,1.803820,1.759886,1.577539,1.540212,1.639853,1.538964,1.662921,1.538293,1.510387,1.488630
1.6362,1.830765,1.591275,1.804346,1.757159,1.575529,1.540497,1.637028,1.532790,1.661010,1.155600,1.123205,1.102882
1.6375,1.840770,1.590558,1.805018,1.755004,1.574427,1.541548,1.635019,1.527382,1.659717,0.756021,0.717258,0.702227
1.6387,1.846800,1.590990,1.803962,1.754766,1.574909,1.543510,1.635836,1.526520,1.659953,0.551766,0.511147,0.503485
1.6400,1.846129,1.589984,1.802145,1.755530,1.574715,1.544085,1.637173,1.528390,1.660530,0.587291,0.546266,0.541627
1.6413,1.839812,1.589411,1.800852,1.756775,1.575197,1.545285,1.639950,1.532553,1.662445,0.829052,0.789105,0.787699
1.6425,1.830430,1.588644,1.798362,1.759789,1.577157,1.545521,1.643538,1.539303,1.664214,1.256201,1.220032,1.216390
1.6438,1.819711,1.587016,1.796261,1.763332,1.578879,1.545904,1.646793,1.546430,1.666369,1.752647,1.723331,1.716623
1.6450,1.809134,1.585532,1.796403,1.764912,1.579742,1.543702,1.647368,1.551455,1.667754,2.165443,2.140902,2.125398
1.6462,1.803246,1.584625,1.797070,1.764480,1.579266,1.541264,1.646122,1.551886,1.666226,2.319072,2.298508,2.275773
1.6475,1.802288,1.584192,1.799035,1.764289,1.578834,1.539012,1.644210,1.550357,1.664694,2.324398,2.308493,2.282145
1.6487,1.802481,1.583907,1.800138,1.763284,1.578115,1.537341,1.642389,1.547771,1.663734,2.243800,2.230216,2.203579
1.6500,1.803581,1.584959,1.801378,1.764051,1.577589,1.537719,1.642485,1.545525,1.664550,2.118227,2.105875,2.078720
1.6513,1.806405,1.585247,1.802912,1.763714,1.577921,1.538628,1.641911,1.543849,1.664117,1.980217,1.967406,1.942126
1.6525,1.811382,1.586682,1.803006,1.762997,1.578546,1.538968,1.641288,1.541404,1.664597,1.847370,1.830916,1.808081
1.6538,1.815306,1.587590,1.803053,1.762852,1.578978,1.540064,1.641003,1.539443,1.664980,1.734007,1.713933,1.693062
1.6550,1.820523,1.588690,1.803053,1.761847,1.577683,1.540020,1.639472,1.536669,1.663498,1.532448,1.505162,1.481487
1.6562,1.830718,1.589411,1.803153,1.758401,1.575484,1.540162,1.636453,1.531498,1.661822,1.150826,1.118042,1.097162
1.6575,1.840577,1.589506,1.803531,1.755674,1.573857,1.540256,1.633773,1.526283,1.660147,0.750533,0.712188,0.695915
1.6587,1.846752,1.590607,1.803153,1.754574,1.573663,1.541455,1.634111,1.525470,1.661199,0.548551,0.507529,0.499247
1.6600,1.846370,1.588979,1.799991,1.754239,1.572418,1.541839,1.635358,1.526811,1.661629,0.590993,0.548307,0.543583
1.6612,1.840336,1.588739,1.798462,1.756870,1.573569,1.543033,1.638371,1.531837,1.663687,0.838015,0.797607,0.795374
1.6625,1.829523,1.587400,1.798079,1.759695,1.575911,1.543800,1.642249,1.539012,1.666369,1.266657,1.230234,1.226673
1.6638,1.818946,1.586970,1.796308,1.761944,1.577683,1.543893,1.646267,1.547103,1.668617,1.763753,1.734027,1.726995
1.6650,1.808369,1.585870,1.796020,1.764097,1.579405,1.543559,1.648324,1.551935,1.669097,2.171677,2.146838,2.131770
1.6663,1.803822,1.586682,1.798221,1.764575,1.578879,1.541313,1.646890,1.552129,1.667565,2.319884,2.299250,2.278203
1.6675,1.802623,1.587210,1.800422,1.764864,1.578115,1.538820,1.645886,1.551455,1.666226,2.322871,2.306206,2.282175
1.6687,1.803104,1.587878,1.802864,1.764529,1.577921,1.538059,1.645166,1.550308,1.665409,2.242598,2.228485,2.204409
1.6700,1.805163,1.587111,1.803679,1.763524,1.577732,1.538102,1.644639,1.548013,1.664740,2.117870,2.104670,2.080647
1.6712,1.807746,1.587544,1.804587,1.762663,1.577683,1.539253,1.644210,1.545568,1.665174,1.980996,1.966355,1.943727
1.6725,1.810952,1.588929,1.805402,1.762422,1.577827,1.540497,1.643877,1.543036,1.665266,1.846688,1.830205,1.809503
1.6738,1.815116,1.590368,1.804729,1.761896,1.577683,1.541023,1.643345,1.540978,1.665649,1.731994,1.711583,1.692943
1.6750,1.820429,1.590414,1.804346,1.759071,1.576581,1.540064,1.640761,1.536620,1.664310,1.527804,1.500092,1.478375
1.6763,1.830288,1.590941,1.804157,1.757159,1.575053,1.540212,1.637941,1.531595,1.662875,1.146897,1.114178,1.094258
1.6775,1.840722,1.591947,1.804445,1.754669,1.573614,1.540688,1.635787,1.526429,1.661056,0.751085,0.711910,0.697722
1.6787,1.847324,1.592281,1.803484,1.753664,1.572993,1.541790,1.635449,1.524845,1.661342,0.552448,0.510837,0.503752
1.6800,1.845936,1.591324,1.802145,1.753856,1.572706,1.542222,1.636502,1.526569,1.661725,0.593656,0.551089,0.547644
1.6812,1.841247,1.591229,1.800038,1.756249,1.574571,1.543033,1.639279,1.531212,1.662732,0.842139,0.800482,0.801391
1.6825,1.830288,1.590702,1.800422,1.760173,1.576581,1.543083,1.641959,1.537482,1.664694,1.271853,1.235304,1.234349
1.6838,1.818753,1.590319,1.800185,1.763667,1.578497,1.543132,1.644494,1.544135,1.667039,1.767844,1.739067,1.734612
1.6850,1.807268,1.590079,1.800852,1.765199,1.579980,1.541932,1.646122,1.548396,1.667754,2.171612,2.148075,2.135978
1.6863,1.802481,1.590797,1.802434,1.765628,1.579886,1.540403,1.646315,1.549877,1.666845,2.317448,2.297920,2.279833
1.6875,1.801668,1.590702,1.803679,1.765437,1.578452,1.539061,1.645456,1.550071,1.665792,2.319884,2.304103,2.283508
1.6887,1.802051,1.590273,1.805832,1.764767,1.578591,1.539110,1.645311,1.548250,1.665986,2.238669,2.225115,2.203934
1.6900,1.805210,1.592330,1.807314,1.764958,1.579023,1.540305,1.645982,1.547292,1.666176,2.113583,2.099847,2.080113
1.6912,1.809324,1.594483,1.809326,1.765342,1.579266,1.541647,1.645982,1.545762,1.666896,1.975541,1.960048,1.942600
1.6925,1.813488,1.595632,1.810140,1.765199,1.580556,1.542748,1.646364,1.544280,1.667519,1.842240,1.823249,1.809503
1.6938,1.816599,1.596589,1.809945,1.764529,1.580844,1.543702,1.646987,1.542988,1.668091,1.728065,1.705987,1.694366
1.6950,1.820571,1.597067,1.811001,1.762949,1.579742,1.543466,1.645499,1.539206,1.667279,1.520401,1.492363,1.477516
1.6963,1.831005,1.598217,1.810329,1.759695,1.577921,1.543893,1.643920,1.533798,1.665843,1.138032,1.104594,1.092302
1.6975,1.841007,1.597880,1.811432,1.757540,1.576343,1.544419,1.642104,1.529348,1.664790,0.739719,0.700811,0.693425
1.6987,1.846177,1.598358,1.810476,1.756824,1.576581,1.546145,1.641723,1.527576,1.665174,0.544265,0.503510,0.503130
1.7000,1.845412,1.597257,1.809467,1.757397,1.577013,1.547055,1.642437,1.529585,1.665649,0.590344,0.548121,0.552208
1.7012,1.841054,1.597641,1.808606,1.758928,1.577921,1.548632,1.644494,1.534466,1.667279,0.843048,0.801935,0.809956
1.7025,1.831581,1.597117,1.806788,1.761847,1.579310,1.548874,1.646552,1.540256,1.669001,1.273866,1.235335,1.242084
1.7038,1.819470,1.596350,1.805496,1.765055,1.580700,1.547865,1.648899,1.546575,1.670390,1.770020,1.739314,1.742317
1.7050,1.809757,1.596733,1.806021,1.766873,1.581608,1.546671,1.649377,1.550976,1.670963,2.172197,2.146312,2.141076
1.7063,1.804540,1.596635,1.807361,1.766825,1.582278,1.544945,1.649189,1.552177,1.670626,2.313617,2.292479,2.280456
1.7075,1.802721,1.596062,1.808417,1.767113,1.581990,1.544184,1.649522,1.552317,1.670533,2.315403,2.298106,2.283241
1.7087,1.804347,1.597736,1.810282,1.766730,1.582040,1.543367,1.650333,1.551838,1.670196,2.233279,2.217912,2.203223
1.7100,1.806882,1.598935,1.812630,1.766970,1.581896,1.543274,1.651149,1.550976,1.670339,2.108355,2.093509,2.080024
1.7112,1.809804,1.599413,1.814495,1.766778,1.581846,1.544469,1.651912,1.549829,1.671059,1.970378,1.954144,1.941948
1.7125,1.814016,1.600560,1.814542,1.766922,1.582228,1.546194,1.652729,1.548827,1.671392,1.837693,1.818797,1.809622
1.7138,1.817795,1.602139,1.814300,1.765677,1.581946,1.547482,1.652535,1.547437,1.671586,1.723616,1.700670,1.693832
1.7150,1.823635,1.603050,1.814925,1.763714,1.581176,1.547148,1.649715,1.542939,1.669287,1.514231,1.484511,1.474582
1.7163,1.833254,1.603577,1.814731,1.761083,1.579792,1.546622,1.645311,1.535710,1.667085,1.132252,1.096989,1.089190
1.7175,1.843593,1.602476,1.813869,1.758498,1.579023,1.547148,1.641723,1.529154,1.664740,0.736991,0.695494,0.692655
1.7188,1.848330,1.602571,1.813297,1.758641,1.579360,1.548967,1.641336,1.528007,1.664790,0.543680,0.501563,0.504997
1.7200,1.847324,1.601900,1.813155,1.759408,1.580219,1.550117,1.642007,1.530113,1.665986,0.591545,0.548616,0.556268
1.7212,1.840722,1.600753,1.811910,1.762279,1.581802,1.551120,1.643877,1.534326,1.667898,0.848049,0.806912,0.817780
1.7225,1.830095,1.600560,1.811049,1.765485,1.583811,1.552270,1.647416,1.541312,1.670053,1.278023,1.241610,1.250501
1.7237,1.819470,1.600081,1.808653,1.767832,1.585533,1.552895,1.651676,1.548730,1.672495,1.775833,1.745188,1.751890
1.7250,1.810952,1.602860,1.809614,1.769744,1.586967,1.552128,1.654114,1.554187,1.673977,2.175120,2.147704,2.147684
1.7263,1.807316,1.602715,1.811910,1.769171,1.587161,1.551410,1.654593,1.555765,1.674217,2.314234,2.290315,2.285583
1.7275,1.805880,1.604439,1.814684,1.767783,1.586729,1.550068,1.654544,1.556002,1.674028,2.312967,2.292788,2.286294
1.7288,1.807316,1.606496,1.817893,1.766298,1.585821,1.549257,1.654211,1.555522,1.674457,2.229544,2.211636,2.206068
1.7300,1.808894,1.608124,1.819805,1.764480,1.584863,1.549684,1.654593,1.554520,1.675030,2.103289,2.085749,2.081447
1.7312,1.812435,1.608554,1.819853,1.762231,1.584099,1.549641,1.654931,1.552608,1.676419,1.966254,1.946878,1.944349
1.7325,1.817029,1.609943,1.819711,1.760078,1.583285,1.550117,1.654453,1.550308,1.676516,1.835778,1.811965,1.812141
1.7337,1.822152,1.610467,1.818802,1.758833,1.582278,1.550643,1.653636,1.549258,1.677232,1.722415,1.694889,1.696707
1.7350,1.827318,1.612190,1.819711,1.756489,1.580412,1.550019,1.651053,1.545616,1.676179,1.508873,1.475020,1.474256
1.7363,1.836941,1.611807,1.819086,1.753616,1.578591,1.549591,1.648469,1.539109,1.674171,1.126212,1.087251,1.088123
1.7375,1.846272,1.611905,1.819422,1.749883,1.575097,1.548967,1.645214,1.533124,1.671918,0.730562,0.686497,0.692269
1.7388,1.851441,1.611378,1.818082,1.748255,1.573713,1.549301,1.643968,1.530684,1.671535,0.539783,0.493618,0.506834
1.7400,1.850724,1.611378,1.817032,1.748160,1.573187,1.549734,1.644881,1.532408,1.672158,0.591285,0.544875,0.561780
1.7412,1.844883,1.610611,1.815834,1.749548,1.574189,1.550451,1.647078,1.538102,1.673548,0.850971,0.805706,0.825129
1.7425,1.834354,1.608937,1.814017,1.751320,1.574815,1.550358,1.649855,1.544663,1.675413,1.284777,1.242940,1.260340
1.7437,1.823970,1.609703,1.813391,1.754812,1.576298,1.551076,1.653926,1.552317,1.678381,1.780411,1.746208,1.760751
1.7450,1.814781,1.611043,1.813775,1.756105,1.578020,1.550210,1.656510,1.557198,1.679004,2.175834,2.145385,2.152663
1.7463,1.810234,1.610994,1.815976,1.754717,1.577732,1.548348,1.657273,1.558733,1.678667,2.312090,2.285616,2.288398
1.7475,1.807888,1.611617,1.819327,1.754669,1.577013,1.545953,1.656268,1.558636,1.677855,2.310272,2.287966,2.288606
1.7488,1.809134,1.612429,1.821098,1.753424,1.576581,1.544085,1.654593,1.557106,1.677661,2.226557,2.206906,2.207461
1.7500,1.813346,1.613484,1.821339,1.750936,1.576105,1.543559,1.653400,1.554903,1.677472,2.101926,2.080834,2.082158
1.7512,1.817175,1.614631,1.821145,1.749883,1.575097,1.543702,1.652584,1.552511,1.677425,1.966416,1.942025,1.944853
1.7525,1.820236,1.614107,1.820431,1.749165,1.575673,1.544376,1.652009,1.550120,1.677375,1.834316,1.808131,1.813060
1.7537,1.823540,1.613484,1.819233,1.748544,1.575053,1.544567,1.651004,1.547868,1.677472,1.721440,1.691581,1.696559
1.7550,1.830145,1.613674,1.818177,1.746102,1.572944,1.543367,1.647561,1.543655,1.675653,1.506859,1.469672,1.471115
1.7563,1.839859,1.613147,1.818035,1.742991,1.570552,1.541839,1.642963,1.537197,1.673164,1.126017,1.083108,1.085841
1.7575,1.849959,1.612190,1.816454,1.741412,1.568686,1.540787,1.639617,1.530830,1.671299,0.732283,0.684055,0.691410
1.7588,1.853883,1.611427,1.815403,1.741555,1.568636,1.542074,1.639569,1.528869,1.671203,0.546798,0.497729,0.510835
1.7600,1.851777,1.611184,1.814636,1.743375,1.569068,1.542891,1.641148,1.530975,1.672209,0.599566,0.551058,0.567115
1.7612,1.844548,1.609127,1.813969,1.745959,1.570408,1.544041,1.643442,1.535091,1.673308,0.861947,0.816279,0.835176
1.7625,1.834499,1.608219,1.812530,1.748447,1.572085,1.544419,1.645982,1.541264,1.674840,1.295168,1.253760,1.270239
1.7637,1.823682,1.607548,1.810907,1.752611,1.574909,1.544995,1.648947,1.546812,1.675990,1.793595,1.758791,1.771895
1.7650,1.812865,1.605923,1.810423,1.755244,1.576055,1.543274,1.649855,1.550502,1.674600,2.185413,2.155401,2.159509
1.7663,1.809469,1.605874,1.811238,1.755482,1.575817,1.542031,1.649619,1.550787,1.674407,2.320955,2.295725,2.293377
1.7675,1.807746,1.606064,1.812819,1.755244,1.575961,1.541548,1.649522,1.550787,1.673880,2.318747,2.297024,2.291095
1.7688,1.807888,1.605061,1.814400,1.756009,1.576105,1.541691,1.649044,1.549592,1.674171,2.234837,2.215160,2.208380
1.7700,1.808988,1.604245,1.815262,1.756824,1.575723,1.541647,1.647846,1.548056,1.673211,2.107933,2.089490,2.082366
1.7712,1.811812,1.603960,1.814973,1.757732,1.576055,1.541165,1.646412,1.545185,1.672541,1.970508,1.951268,1.943104
1.7725,1.815594,1.602332,1.813491,1.758498,1.576487,1.541264,1.645214,1.542939,1.672301,1.839057,1.817715,1.809888
1.7737,1.818898,1.601661,1.811574,1.758498,1.575867,1.540880,1.643254,1.540305,1.671586,1.726474,1.702649,1.693269
1.7750,1.823682,1.599318,1.810571,1.757013,1.574189,1.539877,1.640332,1.535182,1.669573,1.509230,1.478390,1.464891
1.7763,1.833352,1.598217,1.810045,1.754286,1.572418,1.539971,1.638178,1.529537,1.667754,1.125303,1.090095,1.077365
1.7775,1.842347,1.597785,1.809993,1.752803,1.571510,1.540639,1.636362,1.524845,1.666656,0.732283,0.692124,0.684297
1.7788,1.846705,1.596396,1.808128,1.752228,1.571222,1.542031,1.637076,1.523218,1.665986,0.552058,0.510497,0.508464
1.7800,1.845506,1.594771,1.806499,1.753521,1.572085,1.542600,1.638033,1.525136,1.665889,0.608106,0.566825,0.567115
1.7812,1.840194,1.592759,1.803679,1.756440,1.572993,1.543225,1.640332,1.530016,1.666845,0.874449,0.834674,0.837162
1.7825,1.829523,1.590797,1.800947,1.759646,1.574001,1.542507,1.642867,1.535570,1.667662,1.310009,1.273577,1.273380
1.7837,1.817222,1.589650,1.799371,1.762901,1.575197,1.541505,1.644306,1.541932,1.669624,1.807461,1.779071,1.774384
1.7850,1.807651,1.587544,1.797359,1.763092,1.575197,1.538343,1.643587,1.544566,1.669241,2.197948,2.173332,2.159361
1.7862,1.802193,1.586633,1.797884,1.762757,1.574621,1.535330,1.642201,1.543849,1.667948,2.331769,2.311770,2.289732
1.7875,1.800568,1.585198,1.799991,1.761847,1.573519,1.533363,1.640713,1.543036,1.666799,2.327645,2.312822,2.286383
1.7888,1.800182,1.584385,1.801525,1.760699,1.572755,1.532169,1.640047,1.541792,1.666319,2.241786,2.229629,2.202453
1.7900,1.803534,1.585247,1.802575,1.760651,1.572229,1.531210,1.639279,1.539685,1.666129,2.114623,2.101949,2.075816
1.7913,1.806022,1.587210,1.804346,1.760986,1.571797,1.531068,1.638419,1.536954,1.666032,1.975054,1.961130,1.937029
1.7925,1.809611,1.588117,1.805113,1.761178,1.572274,1.531977,1.637651,1.534945,1.666129,1.841136,1.825258,1.803902
1.7937,1.813298,1.588405,1.804298,1.759646,1.571177,1.532218,1.636410,1.532694,1.665792,1.727773,1.708584,1.687520
1.7950,1.818705,1.588789,1.805113,1.757302,1.570170,1.531018,1.632817,1.527528,1.663258,1.505788,1.480276,1.456207
1.7962,1.829093,1.589267,1.804924,1.754620,1.568880,1.530783,1.629610,1.520633,1.661245,1.121438,1.089755,1.068741
1.7975,1.840242,1.591180,1.804445,1.752036,1.567297,1.531835,1.628273,1.515704,1.659907,0.731731,0.693515,0.678459
1.7988,1.845459,1.589889,1.803101,1.751846,1.566676,1.532410,1.628654,1.514702,1.659953,0.553779,0.513682,0.504997
1.8000,1.844213,1.589123,1.801189,1.752754,1.566676,1.533270,1.629132,1.516280,1.659763,0.610477,0.569391,0.564359
1.8013,1.838901,1.587590,1.798557,1.755195,1.568636,1.534563,1.631625,1.520633,1.661153,0.878801,0.839404,0.837103
1.8025,1.828371,1.586348,1.796639,1.757972,1.569976,1.534848,1.634493,1.526714,1.662205,1.314555,1.278987,1.273884
1.8037,1.816359,1.584815,1.794633,1.761704,1.571510,1.534706,1.636647,1.532984,1.663927,1.813534,1.785068,1.776103
1.8050,1.805830,1.583809,1.794775,1.763570,1.572755,1.532552,1.636840,1.536238,1.663064,2.198987,2.175991,2.157168
1.8062,1.800616,1.583907,1.797406,1.764194,1.572899,1.531210,1.636024,1.536475,1.662635,2.327450,2.309792,2.284723
1.8075,1.798557,1.583186,1.798940,1.763476,1.572085,1.529731,1.635642,1.536238,1.661679,2.322384,2.308679,2.280515
1.8088,1.799610,1.583046,1.800138,1.763044,1.572373,1.529775,1.636169,1.535613,1.662155,2.235747,2.223848,2.195162
1.8100,1.802671,1.583809,1.800900,1.763379,1.572467,1.529923,1.635594,1.534326,1.661965,2.110401,2.099012,2.070689
1.8113,1.804540,1.583380,1.801189,1.763476,1.572706,1.530158,1.634971,1.532123,1.662155,1.971872,1.959739,1.931783
1.8125,1.807935,1.584002,1.801956,1.762949,1.571321,1.529156,1.633585,1.529440,1.662205,1.841006,1.826278,1.800286
1.8137,1.811910,1.585581,1.801047,1.762328,1.571703,1.528915,1.633010,1.527334,1.662445,1.726669,1.708182,1.683756
1.8150,1.818610,1.585581,1.800900,1.759981,1.569837,1.528295,1.630566,1.522787,1.661056,1.502508,1.476689,1.450132
1.8162,1.828470,1.587016,1.802386,1.757875,1.568210,1.528389,1.628654,1.517955,1.659427,1.116990,1.086014,1.061984
1.8175,1.838183,1.588500,1.802864,1.755147,1.566820,1.529440,1.627795,1.513889,1.659094,0.729555,0.692433,0.674991
1.8188,1.843400,1.587829,1.801808,1.754286,1.566770,1.531068,1.628369,1.513555,1.659380,0.553682,0.515351,0.504760
1.8200,1.841007,1.585388,1.800138,1.754861,1.566964,1.532361,1.628654,1.515564,1.660050,0.613757,0.575636,0.566937
1.8213,1.833877,1.585008,1.799035,1.757302,1.568254,1.533128,1.630663,1.519631,1.662155,0.885295,0.849451,0.842763
1.8225,1.824495,1.582852,1.795972,1.759025,1.569450,1.533363,1.632817,1.525707,1.663544,1.321017,1.289034,1.279989
1.8237,1.813058,1.581417,1.794969,1.761847,1.571653,1.533703,1.635068,1.532263,1.665266,1.818307,1.794065,1.780904
1.8250,1.804299,1.580651,1.793866,1.763379,1.572805,1.532793,1.636598,1.536427,1.665506,2.202527,2.181617,2.160606
1.8262,1.799800,1.581083,1.795205,1.763235,1.572562,1.531835,1.636840,1.537245,1.664740,2.328976,2.312389,2.284960
1.8275,1.797694,1.580507,1.797553,1.762806,1.572611,1.530158,1.635642,1.536141,1.663927,2.323229,2.310596,2.280159
1.8288,1.798029,1.579982,1.799224,1.761991,1.572229,1.528630,1.634299,1.534800,1.663591,2.236623,2.226414,2.194777
1.8300,1.801333,1.581466,1.801094,1.762182,1.571847,1.528673,1.634063,1.533124,1.663258,2.110401,2.100249,2.070007
1.8313,1.806070,1.582325,1.800758,1.761418,1.571991,1.529440,1.634111,1.531212,1.663734,1.972424,1.960265,1.932139
1.8325,1.810234,1.583619,1.800085,1.760748,1.571892,1.530065,1.634299,1.530636,1.664597,1.841785,1.826124,1.800197
1.8337,1.813298,1.584769,1.800900,1.761178,1.571991,1.531018,1.633966,1.529203,1.664264,1.728779,1.709543,1.685416
1.8350,1.819565,1.586348,1.801047,1.758690,1.569500,1.529731,1.631001,1.524608,1.662681,1.502605,1.476226,1.449273
1.8362,1.829570,1.586538,1.800422,1.756727,1.566914,1.529205,1.627317,1.517762,1.660243,1.119035,1.087251,1.062369
1.8375,1.839764,1.586538,1.799944,1.755436,1.566200,1.529966,1.626119,1.513124,1.658757,0.731633,0.694195,0.674665
1.8388,1.843160,1.585771,1.800138,1.755962,1.566726,1.531835,1.626742,1.512930,1.659044,0.559527,0.521936,0.508820
1.8400,1.839764,1.584048,1.799371,1.756489,1.567202,1.533270,1.628987,1.515321,1.659763,0.622459,0.585281,0.575650
1.8413,1.833017,1.582901,1.798268,1.758641,1.568636,1.535040,1.631764,1.520347,1.661919,0.896921,0.862528,0.855181
1.8425,1.823300,1.583091,1.796692,1.761609,1.570458,1.534897,1.634111,1.525852,1.662972,1.335695,1.304461,1.295015
1.8438,1.812916,1.581466,1.793819,1.765437,1.572418,1.534130,1.636024,1.531692,1.663974,1.834511,1.809430,1.796582
1.8450,1.804157,1.582230,1.793960,1.766681,1.572993,1.531977,1.636502,1.534326,1.664070,2.214022,2.192438,2.170949
1.8462,1.800568,1.581178,1.794680,1.765390,1.571510,1.529249,1.635213,1.534277,1.663641,2.337841,2.320179,2.292933
1.8475,1.798747,1.581368,1.796356,1.764912,1.571033,1.527337,1.634541,1.534132,1.662828,2.328749,2.315449,2.285346
1.8487,1.797981,1.580556,1.798940,1.764815,1.571177,1.527287,1.634590,1.533507,1.663018,2.240910,2.231391,2.199963
1.8500,1.800375,1.581417,1.800327,1.764145,1.571703,1.527863,1.635213,1.531546,1.663304,2.114850,2.104917,2.074720
1.8513,1.804252,1.582662,1.800569,1.764529,1.572274,1.529156,1.635261,1.529919,1.663641,1.977457,1.965026,1.936969
1.8525,1.808416,1.583668,1.800374,1.763954,1.571941,1.530832,1.635309,1.528390,1.663734,1.847370,1.831689,1.806036
1.8538,1.813153,1.585437,1.800852,1.763667,1.571748,1.531928,1.635309,1.527242,1.664167,1.733715,1.714644,1.690720
1.8550,1.819616,1.586682,1.801047,1.760843,1.570120,1.531550,1.632720,1.522502,1.662205,1.501404,1.475175,1.448976
1.8562,1.828040,1.587255,1.802817,1.758163,1.568398,1.530975,1.629181,1.516474,1.659667,1.113385,1.082923,1.059228
1.8575,1.836412,1.588834,1.805207,1.756489,1.566726,1.531166,1.627123,1.511254,1.657991,0.725821,0.691042,0.674250
1.8587,1.839429,1.588166,1.806116,1.757348,1.566344,1.532311,1.627268,1.509865,1.657801,0.555598,0.521101,0.511932
1.8600,1.837276,1.591275,1.809326,1.758928,1.566726,1.534706,1.629471,1.512310,1.658425,0.615185,0.581819,0.578228
1.8613,1.829140,1.593143,1.812435,1.761991,1.568592,1.536141,1.633440,1.517191,1.659763,0.889030,0.858633,0.860782
1.8625,1.818512,1.594293,1.814684,1.765963,1.570984,1.537193,1.637221,1.522216,1.661010,1.322348,1.296794,1.299105
1.8638,1.805447,1.594243,1.815162,1.771756,1.575484,1.539395,1.641911,1.528390,1.662109,1.816943,1.799753,1.799575
1.8650,1.795923,1.594532,1.816170,1.777019,1.581558,1.540880,1.643877,1.531740,1.660336,2.189245,2.176640,2.168074
1.8662,1.790993,1.592615,1.816985,1.780560,1.586441,1.541264,1.643157,1.529968,1.656463,2.308681,2.301816,2.285849
1.8675,1.787980,1.590030,1.818035,1.783336,1.589697,1.541214,1.642249,1.527673,1.653351,2.298582,2.296931,2.276721
1.8687,1.787645,1.588690,1.819327,1.784533,1.591563,1.541691,1.642007,1.526520,1.651962,2.211911,2.213120,2.191161
1.8700,1.790133,1.590319,1.820478,1.784055,1.592138,1.543132,1.643012,1.526041,1.653541,2.085657,2.086801,2.065769
1.8713,1.794680,1.592091,1.821387,1.782572,1.594292,1.546578,1.644881,1.527910,1.657372,1.949498,1.948084,1.929590
1.8725,1.799898,1.592854,1.820572,1.781854,1.597736,1.550977,1.649425,1.531789,1.662252,1.820515,1.815056,1.799456
1.8738,1.804587,1.592664,1.817988,1.781613,1.601329,1.555574,1.654501,1.535522,1.666083,1.712835,1.701845,1.687046
1.8750,1.812340,1.591947,1.813822,1.779604,1.605636,1.559930,1.656462,1.536475,1.668188,1.484648,1.464942,1.444827
1.8762,1.825741,1.589172,1.807891,1.777403,1.614251,1.566630,1.658804,1.537148,1.671489,1.105656,1.077729,1.056531
1.8775,1.839236,1.588451,1.802145,1.775393,1.624012,1.575960,1.663590,1.540160,1.676945,0.729003,0.691815,0.674606
1.8787,1.848906,1.585198,1.793677,1.774386,1.635932,1.589504,1.673693,1.550976,1.685753,0.573166,0.529417,0.517029
1.8800,1.853117,1.584576,1.786018,1.772904,1.646650,1.604866,1.688481,1.568160,1.696998,0.648146,0.597709,0.588038
1.8813,1.853788,1.583809,1.776972,1.772809,1.654357,1.619177,1.705567,1.589987,1.710732,0.938713,0.883953,0.876193
1.8825,1.852542,1.581801,1.765772,1.771802,1.658421,1.629422,1.720451,1.611954,1.724853,1.388690,1.329255,1.319584
1.8838,1.850294,1.579072,1.753906,1.768788,1.658903,1.636024,1.732800,1.633107,1.739690,1.900106,1.838428,1.823343
1.8850,1.850818,1.579694,1.744429,1.761896,1.655598,1.642390,1.745052,1.652920,1.753807,2.283027,2.214944,2.191635
1.8862,1.856659,1.581945,1.737868,1.753138,1.648566,1.650049,1.757637,1.671870,1.769890,2.411782,2.337492,2.310951
1.8875,1.864937,1.583236,1.730929,1.743948,1.639852,1.658760,1.771372,1.690584,1.785682,2.412497,2.331865,2.303246
1.8887,1.875561,1.582135,1.721021,1.734854,1.630423,1.665554,1.781663,1.706426,1.799466,2.336510,2.249105,2.218367
1.8900,1.885518,1.578498,1.710016,1.726720,1.620374,1.670343,1.790279,1.719300,1.811958,2.222368,2.127176,2.093035
1.8913,1.895279,1.574957,1.700587,1.720306,1.610132,1.672972,1.796166,1.729686,1.821911,2.096048,1.992664,1.956678
